CaseID;Time;Action Taken;Step Desc.;Person;Type of assignment;Signed As Other Agent;Same agents;Model;Workflow Org;Workflow Center;
GCB.2919;05/04/2018 09:53;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;05/04/2018 10:53;ACCORD - AC;VERIFYING AGENT (first);AGENT41;FA;AGENT42;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;05/04/2018 11:01;ACCORD - AC;AUTHORISING OFFICER;AGENT06;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;05/04/2018 11:01;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2919;05/04/2018 11:01;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2940;26/10/2017 16:22;ACCORD - AC;INITIATING AGENT (first);AGENT39;FA;AGENT39;Yes;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;26/10/2017 16:22;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;31/10/2017 10:57;REFUS POUR CORRECTION - SC;VERIFYING AGENT (first);AGENT15;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 09:51;REFUS POUR CORRECTION - SC;INITIATING AGENT (After REFUSAL;AGENT09;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 09:51;REFUS POUR CORRECTION - SC;SAP R/3 - ACCOUNTANT;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 09:51;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 10:06;ACCORD - AC;INITIATING AGENT (first);AGENT09;FA;AGENT09;Yes;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 10:06;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;07/11/2017 10:33;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT01;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;08/11/2017 10:16;Accepted without verification L2 ex ante;VERIFYING AGENT (EX-ANTE);AGENT30;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;09/11/2017 11:05;ACCORD - AC;AUTHORISING OFFICER;AGENT01;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;09/11/2017 11:05;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2940;09/11/2017 11:05;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;Light version + 2A  Level Ex Ante;GCEGB;DRE;
GCB.2954;22/11/2017 11:09;ACCORD - AC;INITIATING AGENT (first);AGENT13;FA;AGENT13;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;22/11/2017 11:09;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2017 16:42;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT21;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;30/11/2017 16:18;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;30/11/2017 16:18;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;30/11/2017 16:18;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 14:37;ACCORD - AC;INITIATING AGENT (first);AGENT13;FA;AGENT13;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 14:37;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 15:32;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT21;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 17:18;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 17:18;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/01/2018 17:18;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/07/2018 15:13;ACCORD - AC;INITIATING AGENT (first);AGENT12;FA;AGENT12;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;24/07/2018 15:13;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;25/07/2018 09:50;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT20;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;25/07/2018 11:47;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;25/07/2018 11:47;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;25/07/2018 11:47;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 15:49;ACCORD - AC;INITIATING AGENT (first);AGENT13;OA;AGENT19;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 15:49;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 16:05;ACCORD - AC;VERIFYING AGENT (first);AGENT05;FA;AGENT18;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 16:10;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 16:10;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2954;28/11/2018 16:10;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;23/11/2017 16:51;ACCORD - AC;INITIATING AGENT (first);AGENT12;FA;AGENT12;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;23/11/2017 16:51;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;28/11/2017 16:42;ACCORD - AC;VERIFYING AGENT (first);AGENT05;FA;AGENT21;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;28/11/2017 16:47;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;30/11/2017 16:27;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;30/11/2017 16:27;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;24/01/2018 11:29;ACCORD - AC;INITIATING AGENT (first);AGENT12;FA;AGENT12;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;24/01/2018 11:29;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;25/01/2018 08:37;ACCORD - AC;VERIFYING AGENT (first);AGENT05;FA;AGENT21;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;25/01/2018 08:38;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;25/01/2018 17:32;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;25/01/2018 17:32;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;27/03/2018 16:25;ACCORD - AC;INITIATING AGENT (first);AGENT12;FA;AGENT12;Yes;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;27/03/2018 16:25;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;27/03/2018 16:32;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT21;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;28/03/2018 15:37;ACCORD - AC;AUTHORISING OFFICER;AGENT05;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;28/03/2018 15:37;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.2973;28/03/2018 15:38;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;14/12/2017 15:11;ACCORD - AC;INITIATING AGENT (first);AGENT09;FA;AGENT51;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;14/12/2017 15:11;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;18/12/2017 15:17;ACCORD - AC;VERIFYING AGENT (first);AGENT15;FA;AGENT01;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;18/12/2017 16:38;ACCORD - AC;AUTHORISING OFFICER;AGENT45;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;18/12/2017 16:38;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
GCB.3007;18/12/2017 16:38;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;GCEGB;GCB_DEFAULT;
IGG.852;22/12/2016 15:31;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;22/12/2016 15:31;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;22/12/2016 16:57;ACCORD - AC;VERIFYING AGENT (first);AGENT02;FA;AGENT16;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;23/12/2016 12:42;ACCORD - AC;AUTHORISING OFFICER;AGENT14;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;23/12/2016 12:42;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;23/12/2016 12:42;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;24/07/2017 16:10;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;24/07/2017 16:10;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:04;REFUS POUR CORRECTION - SC;VERIFYING AGENT (first);AGENT23;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:09;REFUS POUR CORRECTION - SC;INITIATING AGENT (After REFUSAL;AGENT10;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:09;REFUS POUR CORRECTION - SC;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:09;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:26;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;26/07/2017 15:26;TECHNICAL REJECTION - TR;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;27/07/2017 10:05;REFUS POUR CORRECTION - SC;SAP R/3;HDREFFV;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;27/07/2017 10:15;REFUS POUR CORRECTION - SC;INITIATING AGENT (first);AGENT10;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;27/07/2017 10:16;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;27/07/2017 10:16;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;27/07/2017 11:37;ACCORD - AC;VERIFYING AGENT (first);AGENT29;FA;AGENT50;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;01/08/2017 16:17;ACCORD - AC;AUTHORISING OFFICER;AGENT07;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;01/08/2017 16:18;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;01/08/2017 16:18;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 12:00;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 12:00;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:06;REFUS POUR CORRECTION - SC;VERIFYING AGENT (first);AGENT29;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:07;REFUS POUR CORRECTION - SC;INITIATING AGENT (After REFUSAL;AGENT10;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:07;REFUS POUR CORRECTION - SC;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:07;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:10;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 16:10;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;03/08/2017 17:06;ACCORD - AC;VERIFYING AGENT (first);AGENT29;FA;AGENT50;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;04/08/2017 09:25;ACCORD - AC;AUTHORISING OFFICER;AGENT07;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;04/08/2017 09:25;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;04/08/2017 09:25;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;14/12/2017 15:52;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;14/12/2017 15:52;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;15/12/2017 08:51;ACCORD - AC;VERIFYING AGENT (first);AGENT02;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;15/12/2017 12:16;ACCORD - AC;AUTHORISING OFFICER;AGENT03;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;15/12/2017 12:16;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;15/12/2017 12:16;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;21/12/2017 11:33;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;21/12/2017 11:33;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;21/12/2017 15:48;ACCORD - AC;VERIFYING AGENT (first);AGENT02;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;22/12/2017 11:02;ACCORD - AC;AUTHORISING OFFICER;AGENT03;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;22/12/2017 11:02;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.852;22/12/2017 11:02;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;13/11/2017 14:35;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT22;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;13/11/2017 14:35;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;14/11/2017 15:46;ACCORD - AC;VERIFYING AGENT (first);AGENT29;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;21/11/2017 19:27;ACCORD - AC;AUTHORISING OFFICER;AGENT03;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;21/11/2017 19:27;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.946;21/11/2017 19:27;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;18/12/2017 15:10;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;18/12/2017 15:10;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;19/12/2017 11:18;ACCORD - AC;VERIFYING AGENT (first);AGENT23;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;19/12/2017 19:10;ACCORD - AC;AUTHORISING OFFICER;AGENT03;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;19/12/2017 19:10;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;19/12/2017 19:10;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;20/08/2018 09:57;ACCORD - AC;INITIATING AGENT (first);AGENT33;FA;AGENT33;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;20/08/2018 09:57;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;21/08/2018 12:03;ACCORD - AC;VERIFYING AGENT (first);AGENT29;FA;AGENT29;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;21/08/2018 15:40;ACCORD - AC;AUTHORISING OFFICER;AGENT40;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;21/08/2018 15:40;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;21/08/2018 15:40;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;29/10/2018 09:09;ACCORD - AC;INITIATING AGENT (first);AGENT10;FA;AGENT17;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;29/10/2018 09:09;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;29/10/2018 11:37;ACCORD - AC;VERIFYING AGENT (first);AGENT23;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;30/10/2018 15:28;ACCORD - AC;AUTHORISING OFFICER;AGENT38;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;30/10/2018 15:28;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.968;30/10/2018 15:28;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;18/12/2017 15:29;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;18/12/2017 15:29;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;19/12/2017 11:18;ACCORD - AC;VERIFYING AGENT (first);AGENT23;FA;AGENT03;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;19/12/2017 19:10;ACCORD - AC;AUTHORISING OFFICER;AGENT03;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;19/12/2017 19:10;ACCEPT UNATTENDED-AUTOMATIC - AU;SAP R/3 - ACCOUNTANT;WF-BATCH;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;19/12/2017 19:10;TECHNICAL ACCEPTANCE - TA;SAP R/3 - ACCOUNTANT;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;29/10/2018 10:48;ACCORD - AC;INITIATING AGENT (first);AGENT04;FA;AGENT04;Yes;*** Standard WF ***;IGGC;IGGC_DEFAULT;
IGG.975;29/10/2018 10:48;TECHNICAL ACCEPTANCE - TA;SAP R/3;SAPR3;;;No;*** Standard WF ***;IGGC;IGGC_DEFAULT;
